,ticker,type,date,quantity,price,nominal,real,cumulative nominal,cumulative real
224,CASH,Dividend,5/17/2022,117.5,1,117,6045,189229,600811
225,CASH,Dividend,5/31/2022,85.75,1,85,4411,189314,605222
226,CASH,Dividend,6/7/2022,85.26,1,85,4386,189399,609608
227,CASH,Dividend,6/9/2022,93,1,93,4784,189492,614392
228,CASH,Dividend,6/9/2022,51.98,1,51,2674,189543,617066
229,CASH,Dividend,6/30/2022,45.5,1,45,2340,189588,619406
231,CASH,Dividend,7/1/2022,75.06,1,75,3861,189663,623267
232,CASH,foreign tax withheld,7/1/2022,-11.26,1,-11,-579,189652,622688
230,CASH,Dividend,7/1/2022,62.4,1,62,3210,189714,625898
233,CASH,Dividend,7/8/2022,59.15,1,59,3043,189773,628941
234,CASH,foreign tax withheld,7/8/2022,-8.88,1,-8,-456,189765,628485
235,CASH,Dividend,7/11/2022,188.76,1,188,9711,189953,638196
236,CASH,Dividend,7/18/2022,51.68,1,51,2658,190004,640854
237,CASH,Dividend,7/18/2022,6,1,6,308,190010,641162
238,CASH,Dividend,7/22/2022,15.5,1,15,797,190025,641959
240,CASH,Dividend,7/29/2022,116.76,1,116,6007,190141,647966
239,CASH,Dividend,7/29/2022,45,1,45,2315,190186,650281
241,CASH,Dividend,8/9/2022,64.19,1,64,3302,190250,653583
242,CASH,Dividend,8/15/2022,125.01,1,125,6431,190375,660014
243,CASH,foreign tax withheld,8/15/2022,-18.75,1,-18,-964,190357,659050
244,CASH,Dividend,8/16/2022,116.09,1,116,5972,190473,665022
245,CASH,Dividend,9/1/2022,51.98,1,51,2674,190524,667696
246,CASH,Dividend,9/1/2022,85.26,1,85,4386,190609,672082
247,CASH,Dividend,9/9/2022,93,1,93,4784,190702,676866
248,CASH,Dividend,9/30/2022,45.5,1,45,2340,190747,679206
249,CASH,Dividend,10/3/2022,62.4,1,62,3210,190809,682416
251,CASH,foreign tax withheld,10/4/2022,-10.62,1,-10,-546,190799,681870
250,CASH,Dividend,10/4/2022,70.77,1,70,3641,190869,685511
252,CASH,Dividend,10/7/2022,59.15,1,59,3043,190928,688554
253,CASH,foreign tax withheld,10/7/2022,-8.87,1,-8,-456,190920,688098
254,CASH,Tax Prep Fees,10/13/2022,-90,1,-90,-4630,190830,683468
255,CASH,Dividend,10/17/2022,6,1,6,308,190836,683776
256,CASH,Dividend,10/18/2022,59.28,1,59,3049,190895,686825
257,CASH,Dividend,10/21/2022,15.5,1,15,797,190910,687622
258,CASH,Dividend,10/27/2022,194.04,1,194,9983,191104,697605
260,CASH,Dividend,10/28/2022,39.75,1,39,2045,191143,699650
259,CASH,Tax Prep Fees,10/28/2022,-1520,1,-1520,-78204,189623,621446
261,CASH,Dividend,10/31/2022,115.37,1,115,5935,189738,627381
262,CASH,Dividend,11/9/2022,64.19,1,64,3302,189802,630683
263,CASH,Dividend,11/15/2022,116.09,1,116,5972,189918,636655
264,CASH,Dividend,12/1/2022,51.98,1,51,2674,189969,639329
265,CASH,Dividend,12/1/2022,85.26,1,85,4386,190054,643715
266,CASH,Dividend,12/9/2022,102,1,102,5247,190156,648962
267,CASH,Dividend,12/29/2022,45.5,1,45,2340,190201,651302
269,CASH,foreign tax withheld,12/30/2022,-10.69,1,-10,-550,190191,650752
268,CASH,Dividend,12/30/2022,71.27,1,71,3666,190262,654418
271,CASH,Dividend,12/31/2022,15.76,1,15,810,190277,655228
270,CASH,Dividend,1/3/2023,75,1,75,3858,190352,659086
272,CASH,Dividend,1/9/2023,59.15,1,59,3043,190411,662129
273,CASH,foreign tax withheld,1/9/2023,-8.87,1,-8,-456,190403,661673
274,CASH,Dividend,1/17/2023,6,1,6,308,190409,661981
275,CASH,Dividend,1/18/2023,59.28,1,59,3049,190468,665030
276,CASH,Dividend,1/23/2023,17.06,1,17,877,190485,665907
277,CASH,Dividend,1/30/2023,39.75,1,39,2045,190524,667952
279,CASH,Dividend,1/31/2023,36.5,1,36,1877,190560,669829
278,CASH,Dividend,2/1/2023,124.5,1,124,6405,190684,676234
280,CASH,Dividend,2/2/2023,205.92,1,205,10594,190889,686828
281,CASH,Dividend,2/9/2023,74.67,1,74,3841,190963,690669
282,CASH,Dividend,2/15/2023,125.97,1,125,6481,191088,697150
284,CASH,Dividend,2/28/2023,22.03,1,22,1133,191110,698283
283,CASH,Dividend,3/1/2023,53.96,1,53,2776,191163,701059
285,CASH,Dividend,3/2/2023,85.26,1,85,4386,191248,705445
286,CASH,Dividend,3/9/2023,102,1,102,5247,191350,710692
287,CASH,Dividend,3/31/2023,45.5,1,45,2340,191395,713032
289,CASH,Dividend,4/3/2023,17.89,1,17,920,191412,713952
288,CASH,Dividend,4/3/2023,75,1,75,3858,191487,717810
290,CASH,Dividend,4/4/2023,77.01,1,77,3962,191564,721772
291,CASH,foreign tax withheld,4/4/2023,-19.25,1,-19,-990,191545,720782
292,CASH,Dividend,4/6/2023,70.98,1,70,3651,191615,724433
293,CASH,foreign tax withheld,4/6/2023,-10.65,1,-10,-547,191605,723886
294,CASH,Dividend,4/14/2023,7,1,7,360,191612,724246
295,CASH,Dividend,4/18/2023,59.28,1,59,3049,191671,727295
296,CASH,Dividend,4/21/2023,17.06,1,17,877,191688,728172
298,CASH,Dividend,4/28/2023,42.93,1,42,2208,191730,730380
297,CASH,Dividend,4/28/2023,205.92,1,205,10594,191935,740974
299,CASH,Dividend,4/28/2023,124.5,1,124,6405,192059,747379
300,CASH,Dividend,4/30/2023,13.78,1,13,708,192072,748087
301,CASH,Dividend,5/4/2023,327.29,1,327,16839,192399,764926
302,CASH,foreign tax withheld,5/4/2023,-49.09,1,-49,-2525,192350,762401
303,CASH,Dividend,5/9/2023,74.67,1,74,3841,192424,766242
304,CASH,Dividend,5/15/2023,125.97,1,125,6481,192549,772723
307,CASH,Dividend,5/31/2023,21.98,1,21,1130,192570,773853
305,CASH,Dividend,6/1/2023,53.96,1,53,2776,192623,776629
306,CASH,Dividend,6/1/2023,96.09,1,96,4943,192719,781572
308,CASH,Dividend,6/8/2023,102,1,102,5247,192821,786819
309,CASH,Dividend,6/12/2023,24.38,1,24,1254,192845,788073
